"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Altitude (m)"	"Altitude WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
7.932875498E1	4.634011667E0	-7.416343333E1	2.555722973E3	2.577000000E3	3.429594278E0	5.020000076E1	1.767944169E-1	2.799999952E0	3.629999924E1	2.200000000E1
8.032875498E1	4.634016667E0	-7.416341333E1	2.555123001E3	2.576400000E3	3.303487301E0	5.211000061E1	1.786437908E-1	2.599999905E0	3.470000076E1	2.100000000E1
8.132875498E1	4.634026667E0	-7.416340000E1	2.555023017E3	2.576300000E3	3.123334408E0	5.743999863E1	1.802137564E-1	2.500000000E0	3.359999847E1	2.100000000E1
8.232875498E1	4.634036667E0	-7.416339000E1	2.554923027E3	2.576200000E3	2.911783695E0	4.893000031E1	1.817066925E-1	2.400000095E0	3.370000076E1	2.100000000E1
8.332875498E1	4.634048333E0	-7.416338333E1	2.554423032E3	2.575700000E3	2.669864178E0	4.243000031E1	1.827847167E-1	2.400000095E0	3.390000153E1	2.200000000E1
8.432875498E1	4.634053333E0	-7.416337500E1	2.554023042E3	2.575300000E3	2.419194460E0	4.486000061E1	1.840246636E-1	2.299999952E0	3.359999847E1	2.200000000E1
8.532875498E1	4.634058333E0	-7.416336500E1	2.553423055E3	2.574700000E3	2.232865095E0	4.150000000E1	1.853580374E-1	2.299999952E0	3.359999847E1	2.000000000E1
8.632875498E1	4.634065000E0	-7.416335500E1	2.553023067E3	2.574300000E3	2.074330568E0	5.056999969E1	1.869505036E-1	2.299999952E0	3.370000076E1	1.900000000E1
8.732875498E1	4.634076667E0	-7.416334667E1	2.552723074E3	2.574000000E3	1.948223591E0	4.179999924E1	1.879456967E-1	2.299999952E0	3.400000000E1	2.000000000E1
8.832875498E1	4.634080000E0	-7.416333833E1	2.552123086E3	2.573400000E3	1.734099150E0	5.800000000E1	1.888905533E-1	2.299999952E0	3.409999847E1	2.000000000E1
8.932875498E1	4.634088333E0	-7.416333667E1	2.551723084E3	2.573000000E3	1.581226707E0	4.661999893E1	1.895580803E-1	2.299999952E0	3.379999924E1	2.000000000E1
9.032875498E1	4.634093333E0	-7.416333333E1	2.551423087E3	2.572700000E3	1.440707445E0	4.066999817E1	1.902969565E-1	2.299999952E0	3.379999924E1	2.100000000E1
